CompanyName,Region,Location,Commodity,MiningAsset,LifecyclePhase,Temperature,Month,target
1,1,1,1,1,2,37.88,7,22.5
1,1,1,1,1,2,37.86,6,21
1,1,1,1,1,2,37.85,5,21
1,1,1,1,1,2,37.85,4,20
1,1,1,1,1,2,37.85,3,19.1
1,1,1,1,1,2,37.85,2,19.1
1,1,1,1,1,2,37.84,1,19.1
1,1,1,1,1,2,37.84,12,19.3
1,1,1,1,1,2,37.84,11,19
1,1,1,1,1,2,37.84,10,22.5
1,1,1,1,1,2,37.85,9,20.2
1,1,1,1,1,2,37.85,8,21
1,1,1,1,1,2,37.85,7,21
1,1,1,1,1,2,37.84,6,19.3
1,1,1,1,1,2,37.85,5,19
1,1,1,1,1,2,37.85,4,17.6
1,1,1,1,1,2,37.85,3,18.7
1,1,1,1,1,2,37.85,2,18
1,1,1,1,1,2,37.84,1,19
1,1,1,1,1,2,37.84,12,19.6
1,1,1,1,1,2,37.85,11,19.6
1,1,1,1,1,2,37.85,10,19.6
1,1,1,1,1,2,37.84,9,19.6
1,1,1,1,1,2,37.84,8,20
1,1,1,1,1,2,37.84,7,21
1,1,1,1,1,2,37.85,6,22.2
1,1,1,1,1,2,37.85,5,26
1,1,1,1,1,2,37.85,4,25
1,1,1,1,1,2,37.84,3,25
1,1,1,1,1,2,37.84,2,24
1,1,1,1,1,2,37.84,1,24
1,1,1,1,1,2,37.84,12,19.3
1,1,1,1,1,2,37.84,11,19
1,1,1,1,1,2,37.83,10,22.5
1,1,1,1,1,2,37.83,9,20.2
1,1,1,1,1,2,37.83,8,20
1,1,1,1,1,2,37.83,7,20
1,1,1,1,1,2,37.83,6,19.3
1,1,1,1,1,2,37.83,5,19
1,1,1,1,1,2,37.83,4,17.6
1,1,1,1,1,2,37.83,3,18.7
1,1,1,1,1,2,37.83,2,18
1,1,1,1,1,2,37.84,1,19
1,1,1,1,1,2,37.84,12,19.3
1,1,1,1,1,2,37.83,11,19
1,1,1,1,1,2,37.83,10,22.5
1,1,1,1,1,2,37.83,9,20.2
1,1,1,1,1,2,37.82,8,21
1,1,1,1,1,2,37.82,7,21
1,1,1,1,1,2,37.82,6,19.3
1,1,1,1,1,2,37.82,5,23.3
1,1,1,1,1,2,37.82,4,23.3
1,1,1,1,1,2,37.82,3,25
1,1,1,1,1,2,37.82,2,25
1,1,1,1,1,2,37.82,1,25
2,2,2,2,2,2,37.82,7,37
2,2,2,2,2,2,37.82,6,34
2,2,2,2,2,2,37.82,5,34
2,2,2,2,2,2,37.82,4,32
2,2,2,2,2,2,37.82,3,33.3
2,2,2,2,2,2,37.83,2,33.3
2,2,2,2,2,2,37.82,1,35
2,2,2,2,2,2,37.81,12,35
2,2,2,2,2,2,37.81,11,35
2,2,2,2,2,2,37.81,10,21
2,2,2,2,2,2,37.81,9,21
2,2,2,2,2,2,37.81,8,21
2,2,2,2,2,2,37.8,7,29
2,2,2,2,2,2,37.81,6,29
2,2,2,2,2,2,37.81,5,29
2,2,2,2,2,2,37.81,4,25
2,2,2,2,2,2,37.81,3,25
2,2,2,2,2,2,37.81,2,25
2,2,2,2,2,2,37.81,1,25
2,2,2,2,2,2,37.81,12,25
2,2,2,2,2,2,37.81,11,30
2,2,2,2,2,2,37.81,10,30
2,2,2,2,2,2,37.81,9,30
2,2,2,2,2,2,37.81,8,30
2,2,2,2,2,2,37.8,7,29
2,2,2,2,2,2,37.81,6,29
2,2,2,2,2,2,37.81,5,29
2,2,2,2,2,2,37.81,4,33
2,2,2,2,2,2,37.81,3,33
